    0.00050 	 9.282  23.4 17.6
    0.050 	 9.282  23.4 17.6
    0.066 	 9.334  23.2 17.5
    0.087 	 9.265  23.2 17.5
    0.114 	 9.335  23 17.4
    0.151 	 9.27  23.2 17.6
    0.199 	 8.728  23.1 17.5
    0.262 	 9.32  23.4 17.6
    0.345 	 9.239  23.3 17.6
    0.455 	 9.271  23.1 17.5
    0.600 	 9.264  23.3 17.6
    0.791 	 9.269  23.2 17.5
    1.042 	 9.289  23.3 17.6
    1.374 	 9.27  23.3 17.6
    1.811 	 9.303  23.2 17.5
    2.388 	 9.29  23.1 17.5
    3.147 	 9.28  23.2 17.6
    5.639 	 9.292  23.3 17.6
    8.668 	 9.232  23 17.4
    13.320 	 9.218  23.4 17.7
    20.475 	 9.255  23.6 17.8
    31.472 	 9.109  23.6 17.8
