  0.00050 	 3.436e-05  53.2 210    
  0.050 	 3.436e-05  53.2 210 
     0.069 	 3.445e-05  53.2 210  
     0.095 	 3.437e-05  53.1 203 
     0.131 	 3.433e-05  54.9 207 
     0.181 	 3.449e-05  53.2 210   
     0.250 	 3.477e-05  56.2 200 
     0.345 	 3.535e-05  53.6 191 
     0.476 	 3.617e-05  57.1 208 
     0.658 	 3.706e-05  54 172 
     0.908 	 3.497e-05  53.6 167 
     1.253 	 2.819e-05  52.5 148 
     1.730 	 1.945e-05  51.4 180 
     2.388 	 1.081e-05  50.3 162 
     3.296 	 4.424e-06  49.7 154 
     4.549 	 1.17e-06  49.6 143 
     6.279 	 1.564e-07  51 141 
     8.668 	 6.522e-09  53.2 147 
    11.965 	 2.538e-12  61.8 211 
	25.00    1e-40 61.8 211 

     
